Woche von Zeitstempel;Summe endverbrauchte Energie;Summe produzierte Energie
30. November 2015;1235258209;1235730080
7. Dezember 2015;1251515525;1130350835
14. Dezember 2015;1223250016;1067092809
21. Dezember 2015;1058677021;861945393
28. Dezember 2015;1059327815;838282095
4. Januar 2016;1224851152;972516029
11. Januar 2016;1295287256;1054810398
18. Januar 2016;1325065098;1198741797
25. Januar 2016;1221544949;1056038226
1. Februar 2016;1205655848;1092824681
8. Februar 2016;1236831023;1120580594
15. Februar 2016;1245376714;1157660246
22. Februar 2016;1220304038;1066615072
29. Februar 2016;1260366880;1138021824
7. März 2016;1231374817;1120687880
14. März 2016;1192703383;1097266190
21. März 2016;1108975388;1019456898
28. März 2016;1043679087;1070138813
4. April 2016;1080805606;1194153731
11. April 2016;1061681515;1173926386
18. April 2016;1059809053;1293895753
25. April 2016;1099279974;1267465447
2. Mai 2016;969859072;1136454484
9. Mai 2016;1022238085;1325077574
16. Mai 2016;974627426;1278614862
23. Mai 2016;995349915;1384738096
30. Mai 2016;993842764;1511993388
6. Juni 2016;975908012;1401571158
13. Juni 2016;992305126;1431864233
20. Juni 2016;985838262;1460480125
27. Juni 2016;974597050;1537469648
4. Juli 2016;961500185;1487249650
11. Juli 2016;947670416;1469465867
18. Juli 2016;928429873;1505282344
25. Juli 2016;891378730;1404466546
1. August 2016;853712826;1191789953
8. August 2016;911386217;1022805373
15. August 2016;952604613;995982808
22. August 2016;980267308;1066842596
29. August 2016;990931210;1110656272
5. September 2016;975358950;1169448263
12. September 2016;989825826;1121252751
19. September 2016;990376208;1014557657
26. September 2016;993952271;905664921
3. Oktober 2016;1047020971;829472889
10. Oktober 2016;1096133693;877798012
17. Oktober 2016;1102568149;895157582
24. Oktober 2016;1101212118;873591810
31. Oktober 2016;1114657415;768652387
7. November 2016;1228677192;900104081
14. November 2016;1195599307;861142629
21. November 2016;1164837970;882954563
28. November 2016;1262555941;998539019
5. Dezember 2016;1280057344;965987016
12. Dezember 2016;1298813992;1100307870
19. Dezember 2016;1218597004;971730073
26. Dezember 2016;1102455875;753327994
2. Januar 2017;1266898680;931872065
9. Januar 2017;1329350013;1084590137
16. Januar 2017;1411354067;1170321279
23. Januar 2017;1389686829;1055444953
30. Januar 2017;1267446655;802580662
6. Februar 2017;1282374660;808526469
13. Februar 2017;1241699040;750544208
20. Februar 2017;1186516489;918008605
27. Februar 2017;1189789420;985293137
6. März 2017;1183069141;1052833827
13. März 2017;1106710640;1065066126
20. März 2017;1093156969;1175015670
27. März 2017;1043025242;1086159934
3. April 2017;1038356117;1040358988
10. April 2017;963012180;1035596264
17. April 2017;1034360633;1094109663
24. April 2017;1096675189;1130778845
1. Mai 2017;1056916103;1089086350
8. Mai 2017;1027595732;1120702727
15. Mai 2017;1001068059;1305564038
22. Mai 2017;915664827;1333595500
29. Mai 2017;972479635;1518451496
5. Juni 2017;936853123;1247543180
12. Juni 2017;964795535;1319220186
19. Juni 2017;999541418;1314295180
26. Juni 2017;971068967;1416499104
3. Juli 2017;972731104;1431675075
10. Juli 2017;946849656;1389711755
17. Juli 2017;931159450;1339198183
24. Juli 2017;883472964;1300877170
31. Juli 2017;873039416;1375226405
7. August 2017;923983493;1442761251
14. August 2017;944820433;1249765611
21. August 2017;982409431;1213373680
28. August 2017;1000567679;1245862014
4. September 2017;993955809;1186216195
11. September 2017;1033548425;1212714782
18. September 2017;1039196053;925296763
25. September 2017;1026843410;921919544
2. Oktober 2017;1034196357;926597111
9. Oktober 2017;1019108036;897950802
16. Oktober 2017;1033736303;867137217
23. Oktober 2017;1087572787;922133566
30. Oktober 2017;1105183869;893393857
6. November 2017;1191401456;1119795648
13. November 2017;1241423216;1140876399
20. November 2017;1208414666;971185514
27. November 2017;1299391424;1175556047
4. Dezember 2017;1313614300;1174187022
11. Dezember 2017;1312553370;1109737582
18. Dezember 2017;1260975634;1134316971
25. Dezember 2017;1104952356;899005935
1. Januar 2018;1093650782;975792091
8. Januar 2018;1230280708;1147253743
15. Januar 2018;1269749575;1150485314
22. Januar 2018;1218675618;1159012525
29. Januar 2018;1228795299;1165995405
5. Februar 2018;1280450102;1270806139
12. Februar 2018;1274318482;1157214054
19. Februar 2018;1311127474;1297881758
26. Februar 2018;1368968799;1526791851
5. März 2018;1215186860;1008486972
12. März 2018;1202934093;997412293
19. März 2018;1239964670;1020556002
26. März 2018;1132022314;1039142831
2. April 2018;1059289224;1027616651
9. April 2018;1042999958;1172904405
16. April 2018;990690821;1261432773
23. April 2018;971933072;1443853267
30. April 2018;984121589;1461579738
7. Mai 2018;933053661;1558024722
14. Mai 2018;1005120828;1555509062
21. Mai 2018;945012698;1567050919
28. Mai 2018;971065192;1639627512
4. Juni 2018;980208500;1584475450
11. Juni 2018;981092627;1526621487
18. Juni 2018;976648039;1426082675
25. Juni 2018;967471025;1479184779
2. Juli 2018;972734211;1520992509
9. Juli 2018;954522015;1441761397
16. Juli 2018;936497551;1437784364
23. Juli 2018;903757161;1433851639
30. Juli 2018;880529811;1508003195
6. August 2018;934567031;1388530240
13. August 2018;940775769;1278632534
20. August 2018;980391842;1306566210
27. August 2018;990436568;1220300453
3. September 2018;982656371;1172912479
10. September 2018;990291174;1136543457
17. September 2018;994704047;1062410463
24. September 2018;1003885047;1048680644
1. Oktober 2018;1018468731;975408146
8. Oktober 2018;1004344786;896145636
15. Oktober 2018;1020728764;900445221
22. Oktober 2018;1085112026;923120099
29. Oktober 2018;1119581228;1057317874
5. November 2018;1106164252;1164264738
12. November 2018;1156736993;1089818923
19. November 2018;1245045571;1298726280
26. November 2018;1241481666;1110823325
3. Dezember 2018;1197241202;1114831299
10. Dezember 2018;1308328057;1437483137
17. Dezember 2018;1224131306;1152214092
24. Dezember 2018;1072160200;1084641760
31. Dezember 2018;1134352873;1042442630
7. Januar 2019;1295707843;1257910345
14. Januar 2019;1293761691;1259192860
21. Januar 2019;1315952677;1438871136
28. Januar 2019;1299281622;1242342222
4. Februar 2019;1293145762;1125265432
11. Februar 2019;1235980268;1150081353
18. Februar 2019;1179866002;1129525442
25. Februar 2019;1152733264;1121965323
4. März 2019;1165453918;1002991699
11. März 2019;1181870086;1083134423
18. März 2019;1134405381;1198631768
25. März 2019;1104848823;1154229207
1. April 2019;1110645521;1319546639
8. April 2019;1102845013;1154811595
15. April 2019;985540217;1128277167
22. April 2019;977818188;1220883875
29. April 2019;1047769322;1189818151
6. Mai 2019;1060710168;1247438244
13. Mai 2019;1037409588;1108823401
20. Mai 2019;1013221898;1348491979
27. Mai 2019;930317788;1288946291
3. Juni 2019;959607027;1261880000
10. Juni 2019;934695058;1391862084
17. Juni 2019;954309021;1416967008
24. Juni 2019;999784960;1673449136
1. Juli 2019;980350567;1693701415
8. Juli 2019;936177811;1793018984
