Minute von Zeitstempel;Summe endverbrauchte Energie;Zeitstempel;Summe produzierte Energie;Summe verbrauchte Energie
11. Februar 2012 10:00;2090318;11.02.2012 10:00:00;1925894;2210809
10. November 2014 18:30;2081136;10.11.2014 18:30:00;2585968;2210810
5. Januar 2012 09:30;2088721;05.01.2012 09:30:00;1733419;2210840
19. Dezember 2012 15:45;2078764;19.12.2012 15:45:00;1992548;2210861
12. November 2014 18:15;2087749;12.11.2014 18:15:00;2819772;2210862
4. April 2013 12:15;2108156;04.04.2013 12:15:00;1507155;2210881
14. Februar 2012 21:45;2071701;14.02.2012 21:45:00;1935185;2210887
14. Februar 2013 20:45;2078339;14.02.2013 20:45:00;2183293;2210903
22. Januar 2014 16:45;2076579;22.01.2014 16:45:00;1889591;2210909
7. Januar 2014 10:30;2089466;07.01.2014 10:30:00;2026419;2210932
21. Dezember 2012 09:45;2080899;21.12.2012 09:45:00;2337771;2210935
2. März 2015 18:15;2082521;02.03.2015 18:15:00;2431282;2210946
20. Februar 2013 07:30;2081880;20.02.2013 07:30:00;2161661;2210968
20. Februar 2015 19:30;2078884;20.02.2015 19:30:00;2416622;2210972
13. Februar 2013 21:15;2079534;13.02.2013 21:15:00;2111274;2210975
6. Januar 2012 12:15;2095961;06.01.2012 12:15:00;1922204;2210992
8. Februar 2012 06:00;2049908;08.02.2012 06:00:00;1707863;2211000
8. November 2012 10:15;2088217;08.11.2012 10:15:00;2137827;2211030
6. November 2012 12:15;2104916;06.11.2012 12:15:00;1923352;2211030
4. Februar 2012 01:00;2079814;04.02.2012 01:00:00;1577815;2211041
9. Dezember 2014 20:30;2070194;09.12.2014 20:30:00;2842299;2211047
10. Januar 2012 17:15;2075818;10.01.2012 17:15:00;1926357;2211051
19. September 2012 11:45;2088214;19.09.2012 11:45:00;2071855;2211061
29. Dezember 2014 17:45;2069031;29.12.2014 17:45:00;2599351;2211076
15. Januar 2015 14:00;2073564;15.01.2015 14:00:00;2108821;2211080
13. Februar 2014 07:45;2081406;13.02.2014 07:45:00;2216353;2211083
22. November 2013 15:15;2079103;22.11.2013 15:15:00;2130321;2211085
16. Februar 2015 17:30;2078061;16.02.2015 17:30:00;1904078;2211120
17. November 2014 08:45;2081109;17.11.2014 08:45:00;2542511;2211147
26. Januar 2015 21:15;2045368;26.01.2015 21:15:00;2064543;2211158
17. Februar 2012 15:30;2082638;17.02.2012 15:30:00;1795383;2211181
13. Dezember 2012 06:30;2073400;13.12.2012 06:30:00;1846543;2211209
18. Dezember 2012 20:15;2070218;18.12.2012 20:15:00;2104659;2211214
3. März 2015 19:30;2075643;03.03.2015 19:30:00;2650190;2211218
26. Februar 2015 20:00;2075724;26.02.2015 20:00:00;2549891;2211237
13. Februar 2013 07:15;2089336;13.02.2013 07:15:00;2113241;2211259
